"ID","Name","Class","Type","Power","Power %","Attraction %","Luck","Effect","Requirement","Tradable","Givable","Limited","Link"
"1","Balack's Lantern","Map","","","","","","","","No","No","No","link"
"2","Ticket to the Burroughs Bazaar","Map","","","","","","","","No","No","No","link"
"3","Key to the Town of Digby","Map","","","","","","","","No","No","No","link"
"4","King's Gauntlet Floorplan","Map","","","","","","","","No","No","No","link"
"5","Great Gnarled Tree Map Piece","Map","","","","","","","","No","No","No","link"
"6","Gnawnia Map Piece","Map","","","","","","","","No","No","No","link"
"7","S.S. Huntington IV","Map","","","","","","","","No","No","No","link"
"8","Keeper's Candle","Map","","","","","","","","No","No","No","link"
"9","Laboratory Map Piece","Map","","","","","","","","No","No","No","link"
"10","Map of the Lagoon","Map","","","","","","","","No","No","No","link"
"11","Ocean Navigation Kit","Map","","","","","","","","No","No","No","link"
"12","Repaired Mousoleum Map Piece","Map","","","","","","","","No","No","No","link"
"13","Shredded Furoma Map Piece","Map","","","","","","","","No","No","No","link"
"14","Stitched Furoma Map Piece","Map","","","","","","","","No","No","No","link"
"15","Tattered Mousoleum Map Piece","Map","","","","","","","","No","No","No","link"
"16","Calm Clearing Map Piece","Map","","","","","","","","No","No","No","link"
"17","Aqua Base","Base","","230","","","8","","Legendary","No","No","No","link"
"18","Bamboozler Base","Base","","200","10%","5%","","Very Fresh","Grandmaster","No","No","No","link"
"19","Birthday Cake Base","Base","","175","11%","5%","","","Recruit","No","No","No","link"
"20","Candy Cane Base","Base","","300","","","8","Fresh","Journeyman","No","No","No","link"
"21","Chocolate Birthday Cake Base","Base","","175","8%","5%","1","","Apprentice","No","No","No","link"
"22","Dehydration Base","Base","","225","","5%","4","Insanely Fresh","Initiate","No","No","No","link"
"23","Explosive Base","Base","","300","5%","5%","","Stale","Initiate","No","No","No","link"
"24","Firecracker Base","Base","","300","5%","5%","4","Stale","Journeyman","No","No","Yes","link"
"25","Gingerbread Base","Base","","225","8%","","4","Insanely Fresh","Journeyman","No","No","No","link"
"26","Magma Base","Base","","300","8%","5%","10","Insanely Stale","Master","No","No","Yes","link"
"27","Monolith Base","Base","","300","12%","","","","Master","No","No","No","link"
"28","Polar Base","Base","","200","10%","","4","Insanely Fresh","Journeyman","No","No","Yes","link"
"29","Stone Base","Base","","150","10%","","","Fresh","Recruit","No","No","No","link"
"30","Tribal Base","Base","","175","18%","2%","","Fresh","Legendary","No","No","No","link"
"31","Wooden Base","Base","","35","","","","Very Fresh","Novice","No","No","No","link"
"32","Wooden Base with Target","Base","","75","","20%","","","Novice","No","No","No","link"
"33","2010 Blastoff Trap","Weapon","Tactical","2,600","15%","","25","Very Stale","Journeyman","No","No","Yes","link"
"34","500 Pound Spiked Crusher","Weapon","Physical","250","10%","","1","","Novice","No","No","No","link"
"35","Arcane Capturing Rod Of Never Yielding Mystery","Weapon","Arcane","3,800","12%","","18","Insanely Stale","Legendary","No","No","No","link"
